table_name,column_name,quantity_type,unit,is_per_unit,per_unit_base_column,description,discriminator_column,discriminator_value
hydro_reservoirs,spillage_limits,VolumeFlowRate,m3/s,0,,"JSON {min, max}",level_data_type,TOTAL_VOLUME
hydro_reservoirs,spillage_limits,HeadRate,m/s,0,,"JSON {min, max}",level_data_type,HEAD
hydro_reservoirs,spillage_limits,ActivePower,MW,0,,"JSON {min, max}",level_data_type,ENERGY
hydro_reservoirs,inflow,VolumeFlowRate,m3/s,0,,"Inflow rate",level_data_type,USABLE_VOLUME
hydro_reservoirs,inflow,VolumeFlowRate,m3/s,0,,"Inflow rate",level_data_type,TOTAL_VOLUME
hydro_reservoirs,inflow,HeadRate,m/s,0,,"Inflow rate",level_data_type,HEAD
hydro_reservoirs,inflow,ActivePower,MW,0,,"Inflow rate",level_data_type,ENERGY
hydro_reservoirs,outflow,VolumeFlowRate,m3/s,0,,"Outflow rate",level_data_type,USABLE_VOLUME
hydro_reservoirs,outflow,VolumeFlowRate,m3/s,0,,"Outflow rate",level_data_type,TOTAL_VOLUME
hydro_reservoirs,outflow,HeadRate,m/s,0,,"Outflow rate",level_data_type,HEAD
hydro_reservoirs,outflow,ActivePower,MW,0,,"Outflow rate",level_data_type,ENERGY
hydro_reservoirs,intake_elevation,Elevation,m,0,,"Intake elevation",,
hydro_reservoirs,level_targets,Volume,m3,0,,"Reservoir level targets",level_data_type,USABLE_VOLUME
hydro_reservoirs,level_targets,Volume,m3,0,,"Reservoir level targets",level_data_type,TOTAL_VOLUME
hydro_reservoirs,level_targets,Elevation,m,0,,"Reservoir level targets",level_data_type,HEAD
hydro_reservoirs,level_targets,RealEnergy,MWh,0,,"Reservoir level targets",level_data_type,ENERGY
hydro_reservoirs,operation_cost,OperationCost,USD/MWh,0,,"Operation cost structure",,
loads,base_power,ActivePower,MW,0,,"Base power",,
supply_technologies,lifetime,Duration,yr,0,,"Technology lifetime",,
supply_technologies,unit_size,ActivePower,MW,0,,"Unit nameplate capacity",,
supply_technologies,capacity_limits,ActivePower,MW,0,,"JSON {min, max} capacity limits",,
supply_technologies,start_fuel_mmbtu_per_mwh,HeatRate,MMBtu/MWh,0,,"Start-up fuel heat rate",,
supply_technologies,cofire_level_limits,Fraction,1,0,,"JSON fuel cofire level limits",,
supply_technologies,cofire_start_limits,Fraction,1,0,,"JSON fuel cofire start limits",,
supply_technologies,co2,CO2Emissions,t/MMBtu,0,,"JSON CO2 emission rates per fuel",,
supply_technologies,ramp_limits,ActivePowerChangeRate,MW/min,0,,"JSON {up, down} ramp limits",,
supply_technologies,time_limits,Duration,h,0,,"JSON {up, down} time limits",,
supply_technologies,outage_factor,Fraction,1,0,,"Outage factor",,
supply_technologies,min_generation_fraction,Fraction,1,0,,"Minimum generation fraction",,
supply_technologies,capital_costs,CapitalCost,USD/MW,0,,"Capital cost structure",,
supply_technologies,operation_costs,OperationCost,USD/MWh,0,,"Operation cost structure",,
storage_technologies,lifetime,Duration,yr,0,,"Technology lifetime",,
storage_technologies,unit_size_charge,ActivePower,MW,0,,"Charging unit size",,
storage_technologies,unit_size_discharge,ActivePower,MW,0,,"Discharging unit size",,
storage_technologies,unit_size_energy,RealEnergy,MWh,0,,"Energy storage unit size",,
storage_technologies,capacity_limits_charge,ActivePower,MW,0,,"JSON {min, max} charge capacity limits",,
storage_technologies,capacity_limits_discharge,ActivePower,MW,0,,"JSON {min, max} discharge capacity limits",,
storage_technologies,capacity_limits_energy,RealEnergy,MWh,0,,"JSON {min, max} energy capacity limits",,
storage_technologies,duration_limits,Duration,h,0,,"JSON {min, max} duration limits",,
storage_technologies,efficiency,Fraction,1,0,,"JSON {in, out} efficiency",,
storage_technologies,min_discharge_fraction,Fraction,1,0,,"Minimum discharge fraction",,
storage_technologies,losses,Fraction,1,0,,"Storage losses",,
storage_technologies,capital_costs_charge,CapitalCost,USD/MW,0,,"Charging capital cost structure",,
storage_technologies,capital_costs_discharge,CapitalCost,USD/MW,0,,"Discharging capital cost structure",,
storage_technologies,capital_costs_energy,CapitalCost,USD/MWh,0,,"Energy capital cost structure",,
storage_technologies,operation_costs,OperationCost,USD/MWh,0,,"Operation cost structure",,
transport_technologies,unit_size,ActivePower,MW,0,,"Unit nameplate capacity",,
transport_technologies,capital_costs,CapitalCost,USD/MW,0,,"Capital cost structure",,
attributes,active_power_limits,ActivePower,MW,0,,"Active power limits stored as attribute",,
attributes,time_limits,Duration,h,0,,"Time limits stored as attribute",,
attributes,ramp_limits,ActivePowerChangeRate,MW/min,0,,"Ramp limits stored as attribute",,
attributes,efficiency,Dimensionless,1,0,,"Efficiency stored as attribute",,
attributes,active_power_limits_pump,ActivePower,MW,0,,"HydroPumpTurbine pump limits stored as attribute",,
